Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0243,0.0504,0.1081
5.0,0.0068,0.0971,0.1978
10.0,0.0064,0.1356,0.2472
15.0,0.0565,0.0991,0.2916
20.0,0.0739,0.1177,0.2927
25.0,0.1541,0.2347,0.3597
30.0,0.1867,0.3758,0.3566
35.0,0.2247,0.3988,0.3859
40.0,0.3381,0.5833,0.3899
45.0,0.4061,0.7379,0.4104
50.0,0.5111,0.8844,0.4336
55.00000000000001,0.5707,1.0151,0.4867
60.0,0.6449,1.1537,0.4944
65.0,0.7329,1.2942,0.4743
70.0,0.7583,1.3602,0.4595
