Flip Percentage,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
5.0,Independence (M_ind),0.0172,0.005005752246721321,0.03824,0.005880895623400685
10.0,Independence (M_ind),0.04131,0.010907820334257638,0.03556,0.006808690525105885
15.0,Independence (M_ind),0.07568,0.01300250232327096,0.037140000000000006,0.007194028387798065
20.0,Independence (M_ind),0.10308999999999997,0.013920069045167204,0.09768999999999999,0.01614566642924486
25.0,Independence (M_ind),0.14865,0.014092316661531875,0.10201,0.012676508895503435
30.0,Independence (M_ind),0.20636000000000002,0.014415155604817835,0.10547999999999999,0.012118111330658016
35.0,Independence (M_ind),0.26371,0.01678900731629677,0.11252999999999999,0.011993582080058946
40.0,Independence (M_ind),0.34131999999999996,0.009928788669542943,0.12881,0.012819953631394737
45.0,Independence (M_ind),0.42140999999999995,0.01349577258913982,0.17726999999999998,0.01504301277448548
50.0,Independence (M_ind),0.5001599999999999,0.01059580839556641,0.20942,0.011682901085679777
55.00000000000001,Independence (M_ind),0.5667599999999999,0.01102964893165487,0.2433,0.01749939681500162
60.0,Independence (M_ind),0.6414500000000001,0.015090992530498308,0.30513,0.013610878410709244
65.0,Independence (M_ind),0.7078399999999999,0.012939965653397662,0.34219999999999995,0.016196268431682374
70.0,Independence (M_ind),0.74404,0.005921264879886541,0.41321,0.01412815510484885
0.0,Separation (M_sep),0.06168000000000001,0.011606586252832674,0.06550000000000002,0.01191817472975157
5.0,Separation (M_sep),0.08515999999999999,0.015289176999869328,0.12179000000000002,0.024740490653537527
10.0,Separation (M_sep),0.14014000000000001,0.022469610094030954,0.11916000000000002,0.019039194660839344
15.0,Separation (M_sep),0.18819999999999998,0.0314932479535958,0.11679999999999999,0.025407343645314655
20.0,Separation (M_sep),0.22779,0.03640314531587743,0.24875000000000003,0.03859743874634401
25.0,Separation (M_sep),0.31009000000000003,0.03329565353682736,0.26571,0.033858130321813236
30.0,Separation (M_sep),0.42084,0.031709767860673116,0.2609,0.02861699960978905
35.0,Separation (M_sep),0.50363,0.03968578544852888,0.27807000000000004,0.021732070771097727
40.0,Separation (M_sep),0.6424800000000002,0.022960501349539867,0.32056000000000007,0.027695800724618486
45.0,Separation (M_sep),0.76167,0.02875924604945918,0.38970999999999995,0.03480484145760312
50.0,Separation (M_sep),0.89937,0.022688886413102478,0.42776000000000003,0.039583574595755976
55.00000000000001,Separation (M_sep),1.00869,0.021917397706439107,0.46815999999999997,0.041699504926451
60.0,Separation (M_sep),1.1469099999999999,0.03238422609851901,0.53802,0.04096606129197409
65.0,Separation (M_sep),1.24433,0.0306289189782757,0.55496,0.040737016200120615
70.0,Separation (M_sep),1.30806,0.023136350427651973,0.69096,0.03539196456196739
0.0,Sufficiency (M_suff),0.13196,0.024079203567486288,0.1365,0.02376426355312157
5.0,Sufficiency (M_suff),0.15821000000000002,0.018432359528225833,0.1942,0.028873363349480277
10.0,Sufficiency (M_suff),0.18491,0.01578602370593825,0.19854,0.023354101233925582
15.0,Sufficiency (M_suff),0.21988000000000002,0.027681673841490628,0.21908,0.030641884189237883
20.0,Sufficiency (M_suff),0.23468999999999998,0.02806443953950741,0.24861999999999998,0.033448988690907296
25.0,Sufficiency (M_suff),0.26417999999999997,0.03365741721126761,0.29425,0.04030968521611428
30.0,Sufficiency (M_suff),0.30769,0.03577850829136893,0.2884,0.04172023489866757
35.0,Sufficiency (M_suff),0.3385,0.029339594028850804,0.28877,0.04164398329224096
40.0,Sufficiency (M_suff),0.36562000000000006,0.03355431682776119,0.31178,0.04599156396074779
45.0,Sufficiency (M_suff),0.39559,0.028029482295928648,0.34448,0.036224687100864725
50.0,Sufficiency (M_suff),0.40892,0.03149518763945445,0.34008999999999995,0.0354063379448746
55.00000000000001,Sufficiency (M_suff),0.41259999999999997,0.03025515566716596,0.31463,0.031589442856752
60.0,Sufficiency (M_suff),0.44109,0.025776666666666663,0.34159,0.03901059528441529
65.0,Sufficiency (M_suff),0.4325,0.031159917272747122,0.31575000000000003,0.02612347284212674
70.0,Sufficiency (M_suff),0.45507,0.03093116748883272,0.30846,0.01996050656226495
