Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0601,0.0866,0.0673
5.0,0.0039,0.0846,0.0926
10.0,0.025,0.1986,0.2469
15.0,0.0363,0.1522,0.3034
20.0,0.1192,0.1913,0.2662
25.0,0.1105,0.1827,0.3882
30.0,0.1475,0.1375,0.3242
35.0,0.086,0.1339,0.2897
40.0,0.1217,0.1411,0.3671
45.0,0.1754,0.1841,0.425
50.0,0.1836,0.3668,0.4968
55.00000000000001,0.1763,0.2534,0.6783
60.0,0.2998,0.3622,0.7539
65.0,0.345,0.4941,0.8226
70.0,0.4423,0.6655,0.9101
