Flip Percentage,Male Error Rate,Female Error Rate
0.0,0.0,0.0
5.0,0.0,0.0705
10.0,0.0,0.1101
15.0,0.0,0.1674
20.0,0.0,0.1982
25.0,0.0,0.2555
30.0,0.0,0.3172
35.0,0.0,0.3612
40.0,0.0,0.4009
45.0,0.0,0.4361
50.0,0.0,0.467
55.00000000000001,0.0,0.4934
60.0,0.0,0.533
65.0,0.0,0.5595
70.0,0.0,0.5991
