Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0,0.0,0.0434
5.0,0.0,0.0,0.0137
10.0,0.0,0.0,0.075
15.0,0.0,0.0,0.1158
20.0,0.0,0.0,0.1525
25.0,0.0499,0.0737,0.2086
30.0,0.0,0.0,0.2015
35.0,0.0,0.0,0.2342
40.0,0.0,0.0,0.2709
45.0,0.0286,0.056,1.2973
50.0,0.1074,0.124,0.4841
55.00000000000001,0.043,0.3273,0.529
60.0,0.0133,0.4187,0.7605
65.0,0.4402,0.6036,0.7651
70.0,0.5875,0.9344,0.7849
