Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0391,0.0877,0.0928
5.0,0.0325,0.0864,0.0999
10.0,0.0307,0.0878,0.1002
15.0,0.0151,0.1069,0.1211
20.0,0.0114,0.1114,0.1266
25.0,0.0054,0.1178,0.1297
30.0,0.014,0.1414,0.1547
35.0,0.0235,0.1524,0.1606
40.0,0.064,0.2009,0.2039
45.0,0.3148,0.508,0.2873
50.0,0.571,0.9002,0.3878
55.00000000000001,0.7189,1.1485,0.4548
60.0,0.8449,1.5562,0.4668
65.0,0.9345,1.7507,1.3472
70.0,0.9855,1.9259,1.6594
