Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8261,0.1621,0.4681,0.9078,0.0922,0.5319,0.5366,0.8821,0.6879,0.5
0.0,Female,0.8417,0.1506,0.4773,0.9163,0.0837,0.5227,0.5385,0.8955,0.6968,0.506
5.0,Male,0.834,0.1462,0.4468,0.9223,0.0777,0.5532,0.5676,0.8796,0.6846,0.5
5.0,Female,0.7954,0.1583,0.3889,0.9024,0.0976,0.6111,0.5122,0.8486,0.6457,0.4421
10.0,Male,0.8458,0.1423,0.4681,0.932,0.068,0.5319,0.6111,0.8848,0.7001,0.5301
10.0,Female,0.7568,0.2008,0.4127,0.8673,0.1327,0.5873,0.5,0.8213,0.64,0.4522
15.0,Male,0.8142,0.166,0.4468,0.8981,0.1019,0.5532,0.5,0.8768,0.6724,0.4719
15.0,Female,0.6564,0.2587,0.3514,0.7784,0.2216,0.6486,0.3881,0.75,0.5649,0.3688
20.0,Male,0.83,0.1502,0.4468,0.9175,0.0825,0.5532,0.5526,0.8791,0.6821,0.4941
20.0,Female,0.6718,0.2432,0.3625,0.8101,0.1899,0.6375,0.4603,0.7398,0.5863,0.4056
25.0,Male,0.8379,0.1423,0.4468,0.9272,0.0728,0.5532,0.5833,0.8802,0.687,0.506
25.0,Female,0.6178,0.2857,0.3563,0.75,0.25,0.6437,0.4189,0.6973,0.5532,0.3851
30.0,Male,0.8379,0.1502,0.4681,0.9223,0.0777,0.5319,0.5789,0.8837,0.6952,0.5176
30.0,Female,0.5521,0.3977,0.4343,0.625,0.375,0.5657,0.4175,0.641,0.5297,0.4257
35.0,Male,0.8379,0.1265,0.4043,0.9369,0.0631,0.5957,0.5938,0.8733,0.6706,0.481
35.0,Female,0.5135,0.3822,0.3826,0.6181,0.3819,0.6174,0.4444,0.5562,0.5003,0.4112
40.0,Male,0.8379,0.1423,0.4468,0.9272,0.0728,0.5532,0.5833,0.8802,0.687,0.506
40.0,Female,0.4981,0.444,0.4409,0.553,0.447,0.5591,0.487,0.5069,0.497,0.4628
45.0,Male,0.8379,0.1265,0.4043,0.9369,0.0631,0.5957,0.5938,0.8733,0.6706,0.481
45.0,Female,0.4942,0.4286,0.4265,0.5691,0.4309,0.5735,0.5225,0.473,0.4978,0.4696
50.0,Male,0.8261,0.1937,0.5532,0.8883,0.1117,0.4468,0.5306,0.8971,0.7208,0.5417
50.0,Female,0.5058,0.4672,0.4762,0.5446,0.4554,0.5238,0.5785,0.442,0.5104,0.5224
55.00000000000001,Male,0.83,0.1976,0.5745,0.8883,0.1117,0.4255,0.54,0.9015,0.7314,0.5567
55.00000000000001,Female,0.5058,0.529,0.529,0.4712,0.5288,0.471,0.5985,0.4016,0.5001,0.5616
60.0,Male,0.8142,0.2213,0.5957,0.8641,0.1359,0.4043,0.5,0.9036,0.7299,0.5437
60.0,Female,0.5097,0.5792,0.5697,0.4043,0.5957,0.4303,0.6267,0.3486,0.487,0.5968
65.0,Male,0.7984,0.2213,0.5532,0.8544,0.1456,0.4468,0.4643,0.8934,0.7038,0.5049
65.0,Female,0.529,0.6486,0.6292,0.3086,0.6914,0.3708,0.6667,0.2747,0.4689,0.6474
70.0,Male,0.8103,0.2174,0.5745,0.8641,0.1359,0.4255,0.4909,0.899,0.7193,0.5294
70.0,Female,0.5676,0.7066,0.6802,0.2097,0.7903,0.3198,0.7322,0.1711,0.4449,0.7053
