Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.06310000270605087,0.1438,0.0772
5.0,0.039000000804662704,0.0677,0.2371
10.0,0.0892999991774559,0.1335,0.278
15.0,0.048500001430511475,0.1362,0.2525
20.0,0.05860000103712082,0.0958,0.2108
25.0,0.10429999977350235,0.1485,0.3094
30.0,0.10159999877214432,0.1764,0.2557
35.0,0.21369999647140503,0.3464,0.3554
40.0,0.24230000376701355,0.3587,0.3694
45.0,0.17730000615119934,0.3168,0.3192
50.0,0.24639999866485596,0.3988,0.3697
55.00000000000001,0.35280001163482666,0.449,0.3801
60.0,0.3610000014305115,0.4801,0.3681
65.0,0.4422999918460846,0.6698,0.3543
70.0,0.4862000048160553,0.8294,0.3473
