Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.011699999682605267,0.0664,0.2073
5.0,0.07689999788999557,0.1632,0.1304
10.0,0.04650000110268593,0.0425,0.1243
15.0,0.11789999902248383,0.1833,0.0608
20.0,0.15449999272823334,0.3001,0.04
25.0,0.2305999994277954,0.4585,0.0528
30.0,0.23579999804496765,0.417,0.1061
35.0,0.29649999737739563,0.5783,0.0654
40.0,0.32179999351501465,0.5902,0.0982
45.0,0.3749000132083893,0.7212,0.0881
50.0,0.35350000858306885,0.5677,0.0899
55.00000000000001,0.40799999237060547,0.6976,0.0942
60.0,0.48170000314712524,0.8411,0.1177
65.0,0.4821000099182129,0.8068,0.1178
70.0,0.5699999928474426,0.987,0.1156
