Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.011699999682605267,0.0664,0.2073
5.0,0.07689999788999557,0.0901,0.2255
10.0,0.04650000110268593,0.0552,0.2874
15.0,0.11789999902248383,0.1229,0.2304
20.0,0.15449999272823334,0.1611,0.3679
25.0,0.2305999994277954,0.3179,0.3673
30.0,0.23579999804496765,0.248,0.4225
35.0,0.29649999737739563,0.3997,0.4909
40.0,0.32179999351501465,0.4289,0.5698
45.0,0.3749000132083893,0.5153,0.5893
50.0,0.35350000858306885,0.3867,0.7034
55.00000000000001,0.40799999237060547,0.5407,0.8441
60.0,0.48170000314712524,0.6485,0.8942
65.0,0.4821000099182129,0.6213,0.996
70.0,0.5699999928474426,0.8729,1.0794
