Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.021199999377131462,0.0433,0.032
5.0,0.08789999783039093,0.1377,0.1802
10.0,0.08179999887943268,0.203,0.2102
15.0,0.08820000290870667,0.265,0.2041
20.0,0.19529999792575836,0.2581,0.325
25.0,0.21400000154972076,0.2405,0.3095
30.0,0.193900004029274,0.3224,0.4573
35.0,0.25279998779296875,0.3314,0.4955
40.0,0.2759000062942505,0.3207,0.6077
45.0,0.2653999924659729,0.4417,0.6888
50.0,0.29019999504089355,0.3702,0.7988
55.00000000000001,0.34209999442100525,0.4073,0.8324
60.0,0.4081999957561493,0.5608,0.9223
65.0,0.43459999561309814,0.5783,0.9374
70.0,0.4629000127315521,0.6401,1.0298
