Flip Percentage,Male Error Rate,Female Error Rate
0.0,0.0,0.0
5.0,0.0,0.0386
10.0,0.0,0.0734
15.0,0.0,0.1158
20.0,0.0,0.139
25.0,0.0,0.166
30.0,0.0,0.2124
35.0,0.0,0.2741
40.0,0.0,0.3205
45.0,0.0,0.3552
50.0,0.0,0.3977
55.00000000000001,0.0,0.4286
60.0,0.0,0.4672
65.0,0.0,0.5174
70.0,0.0,0.5907
