Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.06310000270605087,0.1438,0.0772
5.0,0.06310000270605087,0.1438,0.0772
10.0,0.06310000270605087,0.1438,0.0772
15.0,0.06310000270605087,0.1438,0.0772
20.0,0.06310000270605087,0.1438,0.0772
25.0,0.06310000270605087,0.1438,0.0772
30.0,0.06310000270605087,0.1438,0.0772
35.0,0.06310000270605087,0.1438,0.0772
40.0,0.06310000270605087,0.1438,0.0772
45.0,0.06310000270605087,0.1438,0.0772
50.0,0.06310000270605087,0.1438,0.0772
55.00000000000001,0.06310000270605087,0.1438,0.0772
60.0,0.06310000270605087,0.1438,0.0772
65.0,0.06310000270605087,0.1438,0.0772
70.0,0.06310000270605087,0.1438,0.0772
