Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.02979999966919422,0.077,0.162
5.0,0.02979999966919422,0.077,0.162
10.0,0.02979999966919422,0.077,0.162
15.0,0.02979999966919422,0.077,0.162
20.0,0.02979999966919422,0.077,0.162
25.0,0.02979999966919422,0.077,0.162
30.0,0.02979999966919422,0.077,0.162
35.0,0.02979999966919422,0.077,0.162
40.0,0.02979999966919422,0.077,0.162
45.0,0.02979999966919422,0.077,0.162
50.0,0.02979999966919422,0.077,0.162
55.00000000000001,0.02979999966919422,0.077,0.162
60.0,0.02979999966919422,0.077,0.162
65.0,0.02979999966919422,0.077,0.162
70.0,0.02979999966919422,0.077,0.162
