Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.07919999957084656,0.2216,0.0625
5.0,0.07919999957084656,0.2216,0.0625
10.0,0.07919999957084656,0.2216,0.0625
15.0,0.07919999957084656,0.2216,0.0625
20.0,0.07919999957084656,0.2216,0.0625
25.0,0.07919999957084656,0.2216,0.0625
30.0,0.07919999957084656,0.2216,0.0625
35.0,0.07919999957084656,0.2216,0.0625
40.0,0.07919999957084656,0.2216,0.0625
45.0,0.07919999957084656,0.2216,0.0625
50.0,0.07919999957084656,0.2216,0.0625
55.00000000000001,0.07919999957084656,0.2216,0.0625
60.0,0.07919999957084656,0.2216,0.0625
65.0,0.07919999957084656,0.2216,0.0625
70.0,0.07919999957084656,0.2216,0.0625
