Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.007000000216066837,0.0163,0.1052
5.0,0.007000000216066837,0.1019,0.0871
10.0,0.007000000216066837,0.188,0.1424
15.0,0.007000000216066837,0.1983,0.1643
20.0,0.007000000216066837,0.2085,0.2111
25.0,0.007000000216066837,0.2625,0.2764
30.0,0.007000000216066837,0.2815,0.3435
35.0,0.007000000216066837,0.2715,0.4539
40.0,0.007000000216066837,0.2799,0.5108
45.0,0.007000000216066837,0.2824,0.6045
50.0,0.007000000216066837,0.2969,0.6765
55.00000000000001,0.007000000216066837,0.2993,0.7284
60.0,0.007000000216066837,0.3185,0.8104
65.0,0.007000000216066837,0.314,0.8522
70.0,0.007000000216066837,0.3088,0.946
