Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.06310000270605087,0.1438,0.0772
5.0,0.039000000804662704,0.1533,0.2115
10.0,0.0892999991774559,0.3057,0.342
15.0,0.048500001430511475,0.2986,0.3175
20.0,0.05860000103712082,0.241,0.2173
25.0,0.10429999977350235,0.2916,0.3422
30.0,0.10159999877214432,0.2637,0.2811
35.0,0.21369999647140503,0.3156,0.3921
40.0,0.24230000376701355,0.4078,0.4885
45.0,0.17730000615119934,0.4531,0.4232
50.0,0.24639999866485596,0.5169,0.4536
55.00000000000001,0.35280001163482666,0.4849,0.5059
60.0,0.3610000014305115,0.4655,0.6325
65.0,0.4422999918460846,0.5972,0.7199
70.0,0.4862000048160553,0.7171,0.7846
