Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.021199999377131462,0.0433,0.032
5.0,0.021199999377131462,0.0572,0.1228
10.0,0.021199999377131462,0.133,0.1751
15.0,0.021199999377131462,0.1393,0.3002
20.0,0.021199999377131462,0.1353,0.378
25.0,0.021199999377131462,0.1686,0.4783
30.0,0.021199999377131462,0.2017,0.572
35.0,0.021199999377131462,0.2437,0.6302
40.0,0.021199999377131462,0.2807,0.6825
45.0,0.021199999377131462,0.2954,0.7414
50.0,0.021199999377131462,0.306,0.7945
55.00000000000001,0.021199999377131462,0.3124,0.8418
60.0,0.021199999377131462,0.3117,0.9188
65.0,0.021199999377131462,0.3181,0.966
70.0,0.021199999377131462,0.316,1.0431
