Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.007000000216066837,0.0163,0.1052
5.0,0.031099999323487282,0.0506,0.0999
10.0,0.10220000147819519,0.1407,0.2419
15.0,0.07769999653100967,0.1661,0.1583
20.0,0.10289999842643738,0.25,0.2432
25.0,0.22599999606609344,0.3555,0.2967
30.0,0.21719999611377716,0.3441,0.4422
35.0,0.15209999680519104,0.3672,0.3896
40.0,0.20110000669956207,0.4041,0.4449
45.0,0.23010000586509705,0.4855,0.535
50.0,0.2863999903202057,0.3812,0.6464
55.00000000000001,0.3273000121116638,0.3936,0.6777
60.0,0.4235999882221222,0.6369,0.7996
65.0,0.45660001039505005,0.7147,0.8569
70.0,0.4803999960422516,0.7783,0.95
