Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0017999999690800905,0.0461,0.1186
5.0,0.031099999323487282,0.0792,0.1561
10.0,0.06480000168085098,0.1993,0.1753
15.0,0.18780000507831573,0.3738,0.2954
20.0,0.17139999568462372,0.3539,0.2726
25.0,0.20569999516010284,0.4018,0.3113
30.0,0.21789999306201935,0.4538,0.3211
35.0,0.3702000081539154,0.7329,0.3143
40.0,0.33820000290870667,0.7197,0.355
45.0,0.35100001096725464,0.7139,0.3615
50.0,0.3450999855995178,0.6603,0.2969
55.00000000000001,0.37940001487731934,0.6129,0.2935
60.0,0.4438000023365021,0.8188,0.3202
65.0,0.49390000104904175,0.8847,0.3111
70.0,0.5188999772071838,0.9148,0.3191
