Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.011500000022351742,0.0177,0.0153
5.0,0.01209999993443489,0.0778,0.0864
10.0,0.05849999934434891,0.1201,0.1746
15.0,0.09269999712705612,0.2151,0.2387
20.0,0.09300000220537186,0.1917,0.2316
25.0,0.14339999854564667,0.2677,0.3473
30.0,0.2475000023841858,0.3311,0.4041
35.0,0.2556999921798706,0.3405,0.4665
40.0,0.30169999599456787,0.3801,0.4696
45.0,0.3021000027656555,0.39,0.4716
50.0,0.273499995470047,0.4207,0.503
55.00000000000001,0.3314000070095062,0.4626,0.5584
60.0,0.3578999936580658,0.4858,0.6817
65.0,0.42730000615119934,0.6218,0.8211
70.0,0.48919999599456787,0.7601,0.9692
