Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0008999999845400453,0.0691,0.1384
5.0,0.032600000500679016,0.0791,0.2214
10.0,0.03310000151395798,0.0981,0.2318
15.0,0.16269999742507935,0.2533,0.3222
20.0,0.12839999794960022,0.2227,0.3145
25.0,0.19329999387264252,0.3101,0.3549
30.0,0.13410000503063202,0.2477,0.3535
35.0,0.1808999925851822,0.3036,0.3446
40.0,0.2515000104904175,0.3217,0.3819
45.0,0.21130000054836273,0.3865,0.3414
50.0,0.24320000410079956,0.3413,0.263
55.00000000000001,0.2711000144481659,0.365,0.3101
60.0,0.3472999930381775,0.5262,0.2889
65.0,0.3790000081062317,0.5792,0.2987
70.0,0.4426000118255615,0.7311,0.3025
