Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.011699999682605267,0.0664,0.2073
5.0,0.011699999682605267,0.0664,0.2073
10.0,0.011699999682605267,0.0664,0.2073
15.0,0.011699999682605267,0.0664,0.2073
20.0,0.011699999682605267,0.0664,0.2073
25.0,0.011699999682605267,0.0664,0.2073
30.0,0.011699999682605267,0.0664,0.2073
35.0,0.011699999682605267,0.0664,0.2073
40.0,0.011699999682605267,0.0664,0.2073
45.0,0.011699999682605267,0.0664,0.2073
50.0,0.011699999682605267,0.0664,0.2073
55.00000000000001,0.011699999682605267,0.0664,0.2073
60.0,0.011699999682605267,0.0664,0.2073
65.0,0.011699999682605267,0.0664,0.2073
70.0,0.011699999682605267,0.0664,0.2073
