Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.007000000216066837,0.0163,0.1052
5.0,0.007000000216066837,0.0163,0.1052
10.0,0.007000000216066837,0.0163,0.1052
15.0,0.007000000216066837,0.0163,0.1052
20.0,0.007000000216066837,0.0163,0.1052
25.0,0.007000000216066837,0.0163,0.1052
30.0,0.007000000216066837,0.0163,0.1052
35.0,0.007000000216066837,0.0163,0.1052
40.0,0.007000000216066837,0.0163,0.1052
45.0,0.007000000216066837,0.0163,0.1052
50.0,0.007000000216066837,0.0163,0.1052
55.00000000000001,0.007000000216066837,0.0163,0.1052
60.0,0.007000000216066837,0.0163,0.1052
65.0,0.007000000216066837,0.0163,0.1052
70.0,0.007000000216066837,0.0163,0.1052
