Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0237,0.0464,0.0837
5.0,0.0557,0.1253,0.2236
10.0,0.0963,0.1832,0.218
15.0,0.1437,0.1999,0.2964
20.0,0.1475,0.2162,0.3158
25.0,0.2081,0.2765,0.3395
30.0,0.2561,0.369,0.3425
35.0,0.2836,0.4427,0.3653
40.0,0.384,0.592,0.3703
45.0,0.4163,0.691,0.352
50.0,0.4802,0.8728,0.3423
55.00000000000001,0.5004,0.8617,0.342
60.0,0.5835,1.0171,0.4028
65.0,0.596,1.0018,0.4111
70.0,0.6281,1.0847,0.3486
