Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0276,0.0676,0.1951
5.0,0.0276,0.0676,0.1951
10.0,0.0276,0.0676,0.1951
15.0,0.0276,0.0676,0.1951
20.0,0.0276,0.0676,0.1951
25.0,0.0276,0.0676,0.1951
30.0,0.0276,0.0676,0.1951
35.0,0.0276,0.0676,0.1951
40.0,0.0276,0.0676,0.1951
45.0,0.0276,0.0676,0.1951
50.0,0.0276,0.0676,0.1951
55.00000000000001,0.0276,0.0676,0.1951
60.0,0.0276,0.0676,0.1951
65.0,0.0276,0.0676,0.1951
70.0,0.0276,0.0676,0.1951
