Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0017999999690800905,0.0461,0.1186
5.0,0.0017999999690800905,0.0461,0.1186
10.0,0.0017999999690800905,0.0461,0.1186
15.0,0.0017999999690800905,0.0461,0.1186
20.0,0.0017999999690800905,0.0461,0.1186
25.0,0.0017999999690800905,0.0461,0.1186
30.0,0.0017999999690800905,0.0461,0.1186
35.0,0.0017999999690800905,0.0461,0.1186
40.0,0.0017999999690800905,0.0461,0.1186
45.0,0.0017999999690800905,0.0461,0.1186
50.0,0.0017999999690800905,0.0461,0.1186
55.00000000000001,0.0017999999690800905,0.0461,0.1186
60.0,0.0017999999690800905,0.0461,0.1186
65.0,0.0017999999690800905,0.0461,0.1186
70.0,0.0017999999690800905,0.0461,0.1186
