Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0237,0.0464,0.0837
5.0,0.0557,0.1865,0.2143
10.0,0.0963,0.1554,0.1542
15.0,0.1437,0.2242,0.2267
20.0,0.1475,0.2685,0.2634
25.0,0.2081,0.3454,0.3325
30.0,0.2561,0.2811,0.2769
35.0,0.2836,0.3055,0.3208
40.0,0.384,0.5088,0.3102
45.0,0.4163,0.5636,0.4229
50.0,0.4802,0.7067,0.4874
55.00000000000001,0.5004,0.7403,0.5735
60.0,0.5835,0.877,0.6484
65.0,0.596,0.8548,0.7412
70.0,0.6281,1.018,0.9245
