Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.021900000050663948,0.0613,0.1492
5.0,0.08560000360012054,0.1758,0.0896
10.0,0.19760000705718994,0.3571,0.2026
15.0,0.20550000667572021,0.3067,0.281
20.0,0.22110000252723694,0.2931,0.2998
25.0,0.27970001101493835,0.4199,0.338
30.0,0.2621000111103058,0.367,0.3148
35.0,0.36640000343322754,0.6004,0.2271
40.0,0.263700008392334,0.3733,0.3358
45.0,0.34769999980926514,0.5176,0.4459
50.0,0.367000013589859,0.5787,0.4128
55.00000000000001,0.4138000011444092,0.6455,0.5273
60.0,0.45590001344680786,0.6888,0.6129
65.0,0.5428000092506409,0.8397,0.6808
70.0,0.5590999722480774,0.9445,0.8814
