Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.07919999957084656,0.2216,0.0625
5.0,0.007799999788403511,0.0793,0.1632
10.0,0.0617000013589859,0.1331,0.1958
15.0,0.09669999778270721,0.1357,0.2758
20.0,0.1964000016450882,0.364,0.3051
25.0,0.13210000097751617,0.2073,0.3346
30.0,0.21930000185966492,0.3571,0.305
35.0,0.30309998989105225,0.4446,0.3192
40.0,0.2685999870300293,0.4911,0.2786
45.0,0.29260000586509705,0.4853,0.2878
50.0,0.3709999918937683,0.6064,0.2815
55.00000000000001,0.3481000065803528,0.596,0.2814
60.0,0.4081000089645386,0.6675,0.3
65.0,0.4652000069618225,0.8316,0.332
70.0,0.5339000225067139,0.9952,0.3642
