Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0038,0.0454,0.1622
5.0,0.023,0.088,0.2256
10.0,0.0148,0.0682,0.2908
15.0,0.0878,0.1788,0.4151
20.0,0.1223,0.2793,0.4344
25.0,0.1568,0.3599,0.4617
30.0,0.2219,0.4569,0.5193
35.0,0.31,0.621,0.5623
40.0,0.402,0.735,0.6283
45.0,0.4709,0.8962,0.651
50.0,0.5361,1.0528,0.6813
55.00000000000001,0.6049,1.0993,0.6905
60.0,0.7506,1.3074,0.6891
65.0,0.8238,1.4445,0.6709
70.0,0.8309,1.4619,0.7446
