Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0207,0.0829,0.0267
5.0,0.0287,0.1018,0.1325
10.0,0.0214,0.0316,0.1608
15.0,0.0197,0.1471,0.2185
20.0,0.0576,0.1008,0.2528
25.0,0.0496,0.1143,0.2731
30.0,0.0743,0.1084,0.3254
35.0,0.0902,0.207,0.4495
40.0,0.0946,0.189,0.4242
45.0,0.1361,0.2728,0.4769
50.0,0.2031,0.2732,0.5295
55.00000000000001,0.2597,0.3997,0.5813
60.0,0.3049,0.4885,0.7874
65.0,0.3807,0.4452,0.8219
70.0,0.4741,0.5806,0.9197
