Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8538,0.1186,0.4255,0.9515,0.0485,0.5745,0.6667,0.8789,0.6885,0.5195
0.0,Female,0.8764,0.1622,0.6136,0.9302,0.0698,0.3864,0.6429,0.9217,0.7719,0.6279
5.0,Male,0.8656,0.083,0.3617,0.9806,0.0194,0.6383,0.8095,0.8707,0.6711,0.5
5.0,Female,0.8803,0.1506,0.5909,0.9395,0.0605,0.4091,0.6667,0.9182,0.7652,0.6265
10.0,Male,0.8617,0.0791,0.3404,0.9806,0.0194,0.6596,0.8,0.867,0.6605,0.4776
10.0,Female,0.888,0.1506,0.6136,0.9442,0.0558,0.3864,0.6923,0.9227,0.7789,0.6506
15.0,Male,0.8498,0.0514,0.234,0.9903,0.0097,0.766,0.8462,0.85,0.6122,0.3667
15.0,Female,0.8726,0.0734,0.3409,0.9814,0.0186,0.6591,0.7895,0.8792,0.6612,0.4762
20.0,Male,0.8498,0.0435,0.2128,0.9951,0.0049,0.7872,0.9091,0.8471,0.604,0.3448
20.0,Female,0.8764,0.1004,0.4318,0.9674,0.0326,0.5682,0.7308,0.8927,0.6996,0.5429
25.0,Male,0.8458,0.0553,0.234,0.9854,0.0146,0.766,0.7857,0.8494,0.6097,0.3607
25.0,Female,0.888,0.1274,0.5455,0.9581,0.0419,0.4545,0.7273,0.9115,0.7518,0.6234
30.0,Male,0.8498,0.0514,0.234,0.9903,0.0097,0.766,0.8462,0.85,0.6122,0.3667
30.0,Female,0.861,0.1776,0.6136,0.9116,0.0884,0.3864,0.587,0.9202,0.7626,0.6
35.0,Male,0.8577,0.0514,0.2553,0.9951,0.0049,0.7447,0.9231,0.8542,0.6252,0.4
35.0,Female,0.8842,0.139,0.5682,0.9488,0.0512,0.4318,0.6944,0.9148,0.7585,0.625
40.0,Male,0.8617,0.0553,0.2766,0.9951,0.0049,0.7234,0.9286,0.8577,0.6359,0.4262
40.0,Female,0.8533,0.1776,0.5909,0.907,0.093,0.4091,0.5652,0.9155,0.7489,0.5778
45.0,Male,0.8617,0.0553,0.2766,0.9951,0.0049,0.7234,0.9286,0.8577,0.6359,0.4262
45.0,Female,0.8263,0.2124,0.6136,0.8698,0.1302,0.3864,0.4909,0.9167,0.7417,0.5455
50.0,Male,0.8577,0.0514,0.2553,0.9951,0.0049,0.7447,0.9231,0.8542,0.6252,0.4
50.0,Female,0.7606,0.2857,0.6364,0.786,0.214,0.3636,0.3784,0.9135,0.7112,0.4746
55.00000000000001,Male,0.8656,0.083,0.3617,0.9806,0.0194,0.6383,0.8095,0.8707,0.6711,0.5
55.00000000000001,Female,0.7452,0.3089,0.6591,0.7628,0.2372,0.3409,0.3625,0.9162,0.7109,0.4677
60.0,Male,0.8656,0.0909,0.383,0.9757,0.0243,0.617,0.7826,0.8739,0.6794,0.5143
60.0,Female,0.6293,0.4402,0.7045,0.614,0.386,0.2955,0.2719,0.9103,0.6592,0.3924
65.0,Male,0.8617,0.1739,0.5957,0.9223,0.0777,0.4043,0.6364,0.9091,0.759,0.6154
65.0,Female,0.4942,0.5985,0.7727,0.4372,0.5628,0.2273,0.2194,0.9038,0.605,0.3417
70.0,Male,0.8656,0.17,0.5957,0.9272,0.0728,0.4043,0.6512,0.9095,0.7615,0.6222
70.0,Female,0.3745,0.7181,0.7727,0.293,0.707,0.2273,0.1828,0.863,0.5329,0.2957
