Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8647,0.1165,0.4359,0.9383,0.0617,0.5641,0.5484,0.9064,0.6871,0.4857
0.0,Female,0.8537,0.1463,0.5,0.9485,0.0515,0.5,0.7222,0.8762,0.7242,0.5909
5.0,Male,0.8759,0.0827,0.359,0.9648,0.0352,0.641,0.6364,0.8975,0.6619,0.459
5.0,Female,0.8089,0.1341,0.3906,0.956,0.044,0.6094,0.7576,0.8169,0.6733,0.5155
10.0,Male,0.8797,0.0789,0.359,0.9692,0.0308,0.641,0.6667,0.898,0.6641,0.4667
10.0,Female,0.7846,0.1382,0.3662,0.9543,0.0457,0.6338,0.7647,0.7877,0.6602,0.4952
15.0,Male,0.8797,0.0789,0.359,0.9692,0.0308,0.641,0.6667,0.898,0.6641,0.4667
15.0,Female,0.7683,0.1504,0.3718,0.9524,0.0476,0.6282,0.7838,0.7656,0.6621,0.5043
20.0,Male,0.8797,0.0789,0.359,0.9692,0.0308,0.641,0.6667,0.898,0.6641,0.4667
20.0,Female,0.7114,0.1829,0.3617,0.9276,0.0724,0.6383,0.7556,0.7015,0.6447,0.4892
25.0,Male,0.8797,0.0789,0.359,0.9692,0.0308,0.641,0.6667,0.898,0.6641,0.4667
25.0,Female,0.7276,0.187,0.3939,0.9524,0.0476,0.6061,0.8478,0.7,0.6732,0.5379
30.0,Male,0.8797,0.0789,0.359,0.9692,0.0308,0.641,0.6667,0.898,0.6641,0.4667
30.0,Female,0.6707,0.1911,0.3482,0.9403,0.0597,0.6518,0.8298,0.6332,0.6443,0.4906
35.0,Male,0.8797,0.0865,0.3846,0.9648,0.0352,0.6154,0.6522,0.9012,0.6747,0.4839
35.0,Female,0.626,0.1585,0.2773,0.9528,0.0472,0.7227,0.8462,0.5845,0.615,0.4177
40.0,Male,0.8797,0.0865,0.3846,0.9648,0.0352,0.6154,0.6522,0.9012,0.6747,0.4839
40.0,Female,0.6016,0.1911,0.3023,0.9316,0.0684,0.6977,0.8298,0.5477,0.617,0.4432
45.0,Male,0.8835,0.0752,0.359,0.9736,0.0264,0.641,0.7,0.8984,0.6663,0.4746
45.0,Female,0.5813,0.2154,0.3134,0.9018,0.0982,0.6866,0.7925,0.5233,0.6076,0.4492
50.0,Male,0.8835,0.0752,0.359,0.9736,0.0264,0.641,0.7,0.8984,0.6663,0.4746
50.0,Female,0.5691,0.2967,0.3846,0.8252,0.1748,0.6154,0.7534,0.4913,0.6049,0.5093
55.00000000000001,Male,0.8797,0.1015,0.4359,0.9559,0.0441,0.5641,0.6296,0.9079,0.6959,0.5152
55.00000000000001,Female,0.5203,0.3252,0.3812,0.7791,0.2209,0.6188,0.7625,0.4036,0.5802,0.5083
60.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
60.0,Female,0.5569,0.4675,0.5176,0.6447,0.3553,0.4824,0.7652,0.374,0.5812,0.6175
65.0,Male,0.8609,0.1504,0.5385,0.9163,0.0837,0.4615,0.525,0.9204,0.7274,0.5316
65.0,Female,0.5691,0.5285,0.5652,0.5806,0.4194,0.4348,0.8,0.3103,0.5729,0.6624
70.0,Male,0.8571,0.1541,0.5385,0.9119,0.0881,0.4615,0.5122,0.92,0.7252,0.525
70.0,Female,0.6341,0.6707,0.6963,0.4182,0.5818,0.3037,0.8061,0.284,0.5573,0.7472
