Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
0.0,Female,0.8855,0.1233,0.5278,0.9529,0.0471,0.4722,0.6786,0.9146,0.7403,0.5938
5.0,Male,0.8667,0.1228,0.4727,0.9609,0.0391,0.5273,0.7429,0.884,0.7168,0.5778
5.0,Female,0.837,0.1366,0.4375,0.9441,0.0559,0.5625,0.6774,0.8622,0.6908,0.5316
10.0,Male,0.8632,0.1333,0.4909,0.9522,0.0478,0.5091,0.7105,0.8866,0.7215,0.5806
10.0,Female,0.793,0.141,0.3684,0.9353,0.0647,0.6316,0.6562,0.8154,0.6519,0.4719
15.0,Male,0.8596,0.0947,0.3818,0.9739,0.0261,0.6182,0.7778,0.8682,0.6779,0.5122
15.0,Female,0.7577,0.163,0.3594,0.9141,0.0859,0.6406,0.6216,0.7842,0.6367,0.4554
20.0,Male,0.8526,0.1088,0.4,0.9609,0.0391,0.6,0.7097,0.8701,0.6804,0.5116
20.0,Female,0.7401,0.1674,0.3521,0.9167,0.0833,0.6479,0.6579,0.7566,0.6344,0.4587
25.0,Male,0.8561,0.1053,0.4,0.9652,0.0348,0.6,0.7333,0.8706,0.6826,0.5176
25.0,Female,0.6828,0.2026,0.3415,0.8759,0.1241,0.6585,0.6087,0.7017,0.6087,0.4375
30.0,Male,0.8737,0.1018,0.4364,0.9783,0.0217,0.5636,0.8276,0.8789,0.7073,0.5714
30.0,Female,0.6211,0.2996,0.4,0.7664,0.2336,0.6,0.5294,0.6604,0.5832,0.4557
35.0,Male,0.8596,0.1088,0.4182,0.9652,0.0348,0.5818,0.7419,0.874,0.6917,0.5349
35.0,Female,0.5683,0.4009,0.4632,0.6439,0.3561,0.5368,0.4835,0.625,0.5535,0.4731
40.0,Male,0.8632,0.1123,0.4364,0.9652,0.0348,0.5636,0.75,0.8775,0.7008,0.5517
40.0,Female,0.5419,0.4934,0.5377,0.5455,0.4545,0.4623,0.5089,0.5739,0.5416,0.5229
45.0,Male,0.8596,0.1088,0.4182,0.9652,0.0348,0.5818,0.7419,0.874,0.6917,0.5349
45.0,Female,0.511,0.6256,0.6348,0.3839,0.6161,0.3652,0.5141,0.5059,0.5094,0.5681
50.0,Male,0.8632,0.1053,0.4182,0.9696,0.0304,0.5818,0.7667,0.8745,0.6939,0.5412
50.0,Female,0.5771,0.7797,0.814,0.2653,0.7347,0.186,0.5932,0.52,0.5396,0.6863
55.00000000000001,Male,0.8702,0.1123,0.4545,0.9696,0.0304,0.5455,0.7812,0.8814,0.7121,0.5747
55.00000000000001,Female,0.6167,0.8767,0.9,0.1609,0.8391,0.1,0.6332,0.5,0.5305,0.7434
60.0,Male,0.8737,0.1088,0.4545,0.9739,0.0261,0.5455,0.8065,0.8819,0.7142,0.5814
60.0,Female,0.6432,0.9295,0.9276,0.0667,0.9333,0.0724,0.6682,0.3125,0.4971,0.7769
65.0,Male,0.8596,0.1158,0.4364,0.9609,0.0391,0.5636,0.7273,0.877,0.6986,0.5455
65.0,Female,0.7093,0.9868,0.9877,0.0154,0.9846,0.0123,0.7143,0.3333,0.5015,0.829
70.0,Male,0.8561,0.1263,0.4545,0.9522,0.0478,0.5455,0.6944,0.8795,0.7034,0.5495
70.0,Female,0.7621,0.9824,0.9774,0.0,1.0,0.0226,0.7758,0.0,0.4887,0.865
