Flip Percentage,Male Error Rate,Female Error Rate
0.0,0.0,0.0
5.0,0.0,0.0488
10.0,0.0,0.0772
15.0,0.0,0.1057
20.0,0.0,0.1707
25.0,0.0,0.1911
30.0,0.0,0.2439
35.0,0.0,0.2724
40.0,0.0,0.313
45.0,0.0,0.3333
50.0,0.0,0.3699
55.00000000000001,0.0,0.439
60.0,0.0,0.4797
65.0,0.0,0.5366
70.0,0.0,0.565
