Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.015,0.0334,0.0363
5.0,0.0722,0.1225,0.1548
10.0,0.1111,0.1781,0.1459
15.0,0.0985,0.1656,0.2095
20.0,0.124,0.2009,0.2621
25.0,0.1672,0.3256,0.268
30.0,0.1303,0.1931,0.2339
35.0,0.2402,0.4536,0.3452
40.0,0.2387,0.3289,0.3245
45.0,0.2503,0.3472,0.281
50.0,0.2987,0.4649,0.2626
55.00000000000001,0.3359,0.5339,0.2148
60.0,0.4152,0.6498,0.2337
65.0,0.4717,0.7379,0.2501
70.0,0.4796,0.7825,0.2547
