Flip Percentage,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Independence (M_ind),0.01499,0.004119909653809844,0.04659,0.010575048725918737
5.0,Independence (M_ind),0.07327000000000002,0.01188088146748567,0.05006999999999999,0.006909961408478825
10.0,Independence (M_ind),0.14584,0.011333501959529837,0.08181000000000001,0.01694655946727175
15.0,Independence (M_ind),0.21718,0.012076044238261321,0.09278,0.017064757705738322
20.0,Independence (M_ind),0.28198999999999996,0.015670385728784368,0.14037,0.019218058926147794
25.0,Independence (M_ind),0.3673,0.01821079045206135,0.13656,0.014072875407045365
30.0,Independence (M_ind),0.43537,0.017698123252669097,0.16518000000000002,0.013230862909626617
35.0,Independence (M_ind),0.50571,0.011604256403004314,0.22692,0.0167543480260432
40.0,Independence (M_ind),0.57445,0.010702307643162243,0.24387999999999996,0.008460795864850225
45.0,Independence (M_ind),0.61081,0.01186291560564547,0.28726,0.013105013459656485
50.0,Independence (M_ind),0.68625,0.01075816227594451,0.32291,0.016814309051783508
55.00000000000001,Independence (M_ind),0.71193,0.01633136076524073,0.35281,0.013199675501061882
60.0,Independence (M_ind),0.75999,0.009671130578513903,0.40727,0.013385871905358521
65.0,Independence (M_ind),0.7919299999999999,0.009733961737705313,0.47393,0.013085403657850566
70.0,Independence (M_ind),0.81676,0.008507176055803969,0.5331,0.012011799754130652
0.0,Separation (M_sep),0.06275,0.0077503727508925506,0.10057,0.024857254921294546
5.0,Separation (M_sep),0.16151,0.016103543088401385,0.14024999999999999,0.014378573951852417
10.0,Separation (M_sep),0.28646000000000005,0.022781318857539586,0.19068999999999997,0.03873792987642875
15.0,Separation (M_sep),0.3989,0.024320686211079197,0.23858000000000001,0.03797033871619032
20.0,Separation (M_sep),0.5029600000000001,0.030920975261319154,0.33066,0.04028964079705297
25.0,Separation (M_sep),0.6547700000000001,0.030968826799433868,0.3258599999999999,0.028938329829714317
30.0,Separation (M_sep),0.76069,0.036289623402105814,0.36830999999999997,0.03619538782773297
35.0,Separation (M_sep),0.8597999999999999,0.02769776565396967,0.45946,0.03899333618282317
40.0,Separation (M_sep),0.98827,0.029074249966441285,0.49612,0.030607384003791555
45.0,Separation (M_sep),1.0481500000000001,0.032724330907343745,0.52362,0.04345698716355442
50.0,Separation (M_sep),1.16973,0.03448659981306749,0.58154,0.04558051776801138
55.00000000000001,Separation (M_sep),1.2286199999999998,0.04343539212311647,0.60773,0.039615934083816993
60.0,Separation (M_sep),1.3039099999999997,0.02877894079588985,0.67555,0.029619615309978472
65.0,Separation (M_sep),1.3609999999999998,0.02998516670325883,0.7910200000000001,0.02961284180891797
70.0,Separation (M_sep),1.4023700000000001,0.02688453520768647,0.88002,0.029827607644224128
0.0,Sufficiency (M_suff),0.11610000000000001,0.02193288246750375,0.10288,0.024516410830298957
5.0,Sufficiency (M_suff),0.17036,0.02189013577948854,0.15687,0.015592833467832443
10.0,Sufficiency (M_suff),0.21786999999999995,0.0250640293382103,0.20037,0.03830138103109193
15.0,Sufficiency (M_suff),0.26607000000000003,0.028615400088452758,0.2173,0.04139537011148309
20.0,Sufficiency (M_suff),0.30183,0.025088027467742895,0.29515,0.041087617085659486
25.0,Sufficiency (M_suff),0.34286000000000005,0.02308918072748937,0.29646999999999996,0.04503281778634086
30.0,Sufficiency (M_suff),0.37489999999999996,0.025353198351818776,0.33613000000000004,0.04375083503965001
35.0,Sufficiency (M_suff),0.40197000000000005,0.02189108418207437,0.3923,0.04525531521882877
40.0,Sufficiency (M_suff),0.4236399999999999,0.022894362236634193,0.3914,0.03745219174716837
45.0,Sufficiency (M_suff),0.43844000000000005,0.025554004687241404,0.38398000000000004,0.030514800780386337
50.0,Sufficiency (M_suff),0.47024999999999995,0.027255275738020984,0.38042,0.03301733820619437
55.00000000000001,Sufficiency (M_suff),0.49638,0.026009053124718795,0.34278,0.027487406409319723
60.0,Sufficiency (M_suff),0.49476999999999993,0.025702792974045967,0.32592000000000004,0.02661477784990887
65.0,Sufficiency (M_suff),0.52233,0.021733461400440673,0.33219999999999994,0.022660906130750082
70.0,Sufficiency (M_suff),0.5314500000000001,0.02924329837757704,0.34225999999999995,0.02427645956248334
