Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0456,0.1374,0.1435
5.0,0.0456,0.1374,0.1435
10.0,0.0456,0.1374,0.1435
15.0,0.0456,0.1374,0.1435
20.0,0.0456,0.1374,0.1435
25.0,0.0456,0.1374,0.1435
30.0,0.0456,0.1374,0.1435
35.0,0.0456,0.1374,0.1435
40.0,0.0456,0.1374,0.1435
45.0,0.0456,0.1374,0.1435
50.0,0.0456,0.1374,0.1435
55.00000000000001,0.0456,0.1374,0.1435
60.0,0.0456,0.1374,0.1435
65.0,0.0456,0.1374,0.1435
70.0,0.0456,0.1374,0.1435
