Flip Percentage,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Independence (M_ind),0.01499,0.004119909653809844,0.04659,0.010575048725918737
5.0,Independence (M_ind),0.07327000000000002,0.01188088146748567,0.05006999999999999,0.006909961408478825
10.0,Independence (M_ind),0.14584,0.011333501959529837,0.08181000000000001,0.01694655946727175
15.0,Independence (M_ind),0.21718,0.012076044238261321,0.09278,0.017064757705738322
20.0,Independence (M_ind),0.28198999999999996,0.015670385728784368,0.14037,0.019218058926147794
25.0,Independence (M_ind),0.3673,0.01821079045206135,0.13656,0.014072875407045365
30.0,Independence (M_ind),0.43537,0.017698123252669097,0.16518000000000002,0.013230862909626617
35.0,Independence (M_ind),0.50571,0.011604256403004314,0.22692,0.0167543480260432
40.0,Independence (M_ind),0.57445,0.010702307643162243,0.24387999999999996,0.008460795864850225
45.0,Independence (M_ind),0.61081,0.01186291560564547,0.28726,0.013105013459656485
50.0,Independence (M_ind),0.68625,0.01075816227594451,0.32291,0.016814309051783508
55.00000000000001,Independence (M_ind),0.71193,0.01633136076524073,0.35281,0.013199675501061882
60.0,Independence (M_ind),0.75999,0.009671130578513903,0.40727,0.013385871905358521
65.0,Independence (M_ind),0.7919299999999999,0.009733961737705313,0.47393,0.013085403657850566
70.0,Independence (M_ind),0.81676,0.008507176055803969,0.5331,0.012011799754130652
0.0,Separation (M_sep),0.06275,0.0077503727508925506,0.10057,0.024857254921294546
5.0,Separation (M_sep),0.12894999999999998,0.01853825624066202,0.1345,0.022230934403313876
10.0,Separation (M_sep),0.2166,0.020019423901134953,0.16973,0.028184803036782467
15.0,Separation (M_sep),0.29808,0.016402539098837376,0.16899999999999998,0.028461189949356175
20.0,Separation (M_sep),0.3719,0.018740662860327124,0.21006,0.027993218226325216
25.0,Separation (M_sep),0.5033799999999999,0.03276036833329768,0.19624000000000003,0.012092386953047037
30.0,Separation (M_sep),0.60114,0.0388209370772468,0.23185999999999996,0.01929380556897299
35.0,Separation (M_sep),0.7273099999999999,0.026962506683664764,0.30267,0.025231175821458125
40.0,Separation (M_sep),0.8706299999999999,0.02667569034824695,0.33256,0.013718002770082819
45.0,Separation (M_sep),0.94275,0.03417972189601443,0.39994999999999997,0.015709652022456343
50.0,Separation (M_sep),1.0934899999999999,0.03378881948547805,0.44891999999999993,0.023241322394964247
55.00000000000001,Separation (M_sep),1.1483700000000001,0.04031310250195752,0.43703000000000003,0.031131791717720896
60.0,Separation (M_sep),1.25412,0.029800469049254163,0.5095700000000001,0.03722509920888205
65.0,Separation (M_sep),1.31698,0.0301214349665557,0.6360699999999999,0.03776367758103605
70.0,Separation (M_sep),1.38266,0.024785184642801796,0.7654799999999999,0.0390374657647411
0.0,Sufficiency (M_suff),0.11610000000000001,0.02193288246750375,0.10288,0.024516410830298957
5.0,Sufficiency (M_suff),0.15683,0.025663489197257992,0.15056,0.01874732099379654
10.0,Sufficiency (M_suff),0.22905999999999999,0.014213484989810045,0.20570000000000005,0.026923740040673726
15.0,Sufficiency (M_suff),0.26742999999999995,0.0171106662640588,0.21643999999999997,0.026869661536966016
20.0,Sufficiency (M_suff),0.28751,0.01459637283711265,0.29913,0.01790894283125984
25.0,Sufficiency (M_suff),0.32266000000000006,0.022833733329829745,0.31095999999999996,0.03277652005119925
30.0,Sufficiency (M_suff),0.36461,0.017087899877463644,0.36775,0.01925016738743963
35.0,Sufficiency (M_suff),0.40867,0.0256841803883679,0.4383699999999999,0.017960085684032182
40.0,Sufficiency (M_suff),0.41341,0.022307355289231393,0.4417999999999999,0.017734905945307092
45.0,Sufficiency (M_suff),0.42229,0.027208681008498412,0.4596699999999999,0.027213816139764164
50.0,Sufficiency (M_suff),0.42810999999999994,0.03769633477614972,0.4849800000000001,0.03480600778282074
55.00000000000001,Sufficiency (M_suff),0.4672199999999999,0.03964419475506822,0.5949,0.03802009994726474
60.0,Sufficiency (M_suff),0.5624300000000001,0.039608178308133395,0.69727,0.03732879749231445
65.0,Sufficiency (M_suff),0.61548,0.04957873603337087,0.79443,0.028000091468104563
70.0,Sufficiency (M_suff),0.7361700000000001,0.04214938262365838,0.8969000000000001,0.028539812348522698
