Flip Percentage,Group,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
5.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
10.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
15.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
20.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
25.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
30.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
35.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
40.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
45.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
50.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
55.00000000000001,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
60.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
65.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
70.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
0.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
5.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
10.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
15.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
20.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
25.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
30.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
35.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
40.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
45.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
50.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
55.00000000000001,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
