Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0205,0.0593,0.1352
5.0,0.0205,0.1302,0.1269
10.0,0.0205,0.2346,0.1867
15.0,0.0205,0.2263,0.1427
20.0,0.0205,0.2444,0.1862
25.0,0.0205,0.296,0.2679
30.0,0.0205,0.3091,0.3441
35.0,0.0205,0.2953,0.4531
40.0,0.0205,0.3117,0.5076
45.0,0.0205,0.2929,0.6166
50.0,0.0205,0.2834,0.7093
55.00000000000001,0.0205,0.2914,0.7583
60.0,0.0205,0.3022,0.8619
65.0,0.0205,0.3101,0.9
70.0,0.0205,0.3271,0.9871
