Flip Percentage,Male Error Rate,Female Error Rate
0.0,0.0,0.0
5.0,0.0,0.0258
10.0,0.0,0.0644
15.0,0.0,0.0987
20.0,0.0,0.1416
25.0,0.0,0.1717
30.0,0.0,0.206
35.0,0.0,0.2704
40.0,0.0,0.3176
45.0,0.0,0.3519
50.0,0.0,0.3948
55.00000000000001,0.0,0.4506
60.0,0.0,0.4893
65.0,0.0,0.5365
70.0,0.0,0.6052
