Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.005,0.0448,0.0177
5.0,0.0494,0.1716,0.0845
10.0,0.119,0.2558,0.1933
15.0,0.1808,0.3481,0.2375
20.0,0.2117,0.3671,0.261
25.0,0.2698,0.4736,0.3042
30.0,0.3509,0.5895,0.3437
35.0,0.4321,0.6874,0.3766
40.0,0.5055,0.8811,0.3735
45.0,0.5599,0.9469,0.4129
50.0,0.645,1.0844,0.4383
55.00000000000001,0.618,1.0156,0.4415
60.0,0.7188,1.226,0.5014
65.0,0.7652,1.2637,0.5361
70.0,0.8115,1.3559,0.5384
