Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
0.0,Female,0.8327,0.2082,0.6316,0.8696,0.1304,0.3684,0.4706,0.9278,0.7506,0.5393
5.0,Male,0.7978,0.2434,0.6038,0.8458,0.1542,0.3962,0.4923,0.896,0.7248,0.5424
5.0,Female,0.7306,0.2776,0.5192,0.7876,0.2124,0.4808,0.3971,0.8588,0.6534,0.45
10.0,Male,0.8127,0.236,0.6226,0.8598,0.1402,0.3774,0.5238,0.902,0.7412,0.569
10.0,Female,0.6367,0.3265,0.4328,0.7135,0.2865,0.5672,0.3625,0.7697,0.5732,0.3946
15.0,Male,0.8052,0.2434,0.6226,0.8505,0.1495,0.3774,0.5077,0.901,0.7366,0.5593
15.0,Female,0.6041,0.3673,0.4545,0.6726,0.3274,0.5455,0.3889,0.729,0.5636,0.4192
20.0,Male,0.809,0.2397,0.6226,0.8551,0.1449,0.3774,0.5156,0.9015,0.7389,0.5641
20.0,Female,0.551,0.4408,0.4884,0.5849,0.4151,0.5116,0.3889,0.6788,0.5366,0.433
25.0,Male,0.824,0.2247,0.6226,0.8738,0.1262,0.3774,0.55,0.9034,0.7482,0.5841
25.0,Female,0.5306,0.502,0.5444,0.5226,0.4774,0.4556,0.3984,0.6639,0.5335,0.4601
30.0,Male,0.824,0.2172,0.6038,0.8785,0.1215,0.3962,0.5517,0.8995,0.7411,0.5766
30.0,Female,0.5224,0.5837,0.6327,0.449,0.551,0.3673,0.4336,0.6471,0.5408,0.5145
35.0,Male,0.8202,0.2135,0.5849,0.8785,0.1215,0.4151,0.5439,0.8952,0.7317,0.5636
35.0,Female,0.4653,0.6735,0.6604,0.3165,0.6835,0.3396,0.4242,0.55,0.4885,0.5166
40.0,Male,0.8127,0.2135,0.566,0.8738,0.1262,0.434,0.5263,0.8905,0.7199,0.5455
40.0,Female,0.4857,0.698,0.6957,0.3,0.7,0.3043,0.4678,0.527,0.4978,0.5594
45.0,Male,0.8202,0.1985,0.5472,0.8879,0.1121,0.4528,0.5472,0.8879,0.7175,0.5472
45.0,Female,0.5061,0.751,0.752,0.25,0.75,0.248,0.5109,0.4918,0.501,0.6084
50.0,Male,0.824,0.2022,0.566,0.8879,0.1121,0.434,0.5556,0.892,0.7269,0.5607
50.0,Female,0.502,0.7755,0.7615,0.2087,0.7913,0.2385,0.5211,0.4364,0.4851,0.6188
55.00000000000001,Male,0.824,0.1873,0.5283,0.8972,0.1028,0.4717,0.56,0.8848,0.7127,0.5437
55.00000000000001,Female,0.5224,0.8163,0.8074,0.1727,0.8273,0.1926,0.545,0.4222,0.4901,0.6507
60.0,Male,0.8277,0.191,0.5472,0.8972,0.1028,0.4528,0.5686,0.8889,0.7222,0.5577
60.0,Female,0.5551,0.8571,0.8344,0.1064,0.8936,0.1656,0.6,0.2857,0.4704,0.6981
65.0,Male,0.8352,0.1835,0.5472,0.9065,0.0935,0.4528,0.5918,0.8899,0.7269,0.5686
65.0,Female,0.6,0.898,0.8765,0.0602,0.9398,0.1235,0.6455,0.2,0.4684,0.7435
70.0,Male,0.824,0.1798,0.5094,0.9019,0.0981,0.4906,0.5625,0.8813,0.7057,0.5347
70.0,Female,0.6286,0.9143,0.8935,0.0395,0.9605,0.1065,0.6741,0.1429,0.4665,0.7684
