Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0223,0.083,0.0619
5.0,0.0414,0.1256,0.0834
10.0,0.1152,0.2495,0.1803
15.0,0.1457,0.2514,0.2044
20.0,0.1648,0.256,0.203
25.0,0.2147,0.3718,0.2127
30.0,0.3005,0.5268,0.283
35.0,0.3509,0.5517,0.3366
40.0,0.4435,0.7718,0.3552
45.0,0.4937,0.8157,0.3657
50.0,0.5594,0.9476,0.3772
55.00000000000001,0.5787,0.9362,0.3839
60.0,0.6213,1.0059,0.4116
65.0,0.722,1.1784,0.4549
70.0,0.7491,1.2471,0.4314
