Flip Percentage,Male Error Rate,Female Error Rate
0.0,0.0,0.0
5.0,0.0,0.0345
10.0,0.0,0.0651
15.0,0.0,0.1149
20.0,0.0,0.1648
25.0,0.0,0.1992
30.0,0.0,0.2414
35.0,0.0,0.2835
40.0,0.0,0.3257
45.0,0.0,0.3755
50.0,0.0,0.41
55.00000000000001,0.0,0.4751
60.0,0.0,0.5172
65.0,0.0,0.5556
70.0,0.0,0.5785
